time,day_of_week,event type,date
,Sunday,no football game,2023-06-25
,Monday,no football game,2023-06-26
,Tuesday,no football game,2023-06-27
,Wednesday,no football game,2023-06-28
,Thursday,no football game,2023-06-29
,Friday,no football game,2023-06-30
,Saturday,no football game,2023-07-01
,Sunday,no football game,2023-07-02
,Monday,no football game,2023-07-03
,Tuesday,no football game,2023-07-04
,Wednesday,no football game,2023-07-05
,Thursday,no football game,2023-07-06
,Friday,no football game,2023-07-07
,Saturday,no football game,2023-07-08
,Sunday,no football game,2023-07-09
,Monday,no football game,2023-07-10
,Tuesday,no football game,2023-07-11
,Wednesday,no football game,2023-07-12
,Thursday,no football game,2023-07-13
,Friday,no football game,2023-07-14
,Saturday,no football game,2023-07-15
,Sunday,no football game,2023-07-16
,Monday,no football game,2023-07-17
,Tuesday,no football game,2023-07-18
,Wednesday,no football game,2023-07-19
,Thursday,no football game,2023-07-20
,Friday,no football game,2023-07-21
,Saturday,no football game,2023-07-22
,Sunday,no football game,2023-07-23
,Monday,no football game,2023-07-24
,Tuesday,no football game,2023-07-25
,Wednesday,no football game,2023-07-26
,Thursday,no football game,2023-07-27
,Friday,no football game,2023-07-28
,Saturday,no football game,2023-07-29
,Sunday,no football game,2023-07-30
,Monday,no football game,2023-07-31
,Tuesday,no football game,2023-08-01
,Wednesday,no football game,2023-08-02
,Thursday,no football game,2023-08-03
,Friday,no football game,2023-08-04
,Saturday,no football game,2023-08-05
,Sunday,no football game,2023-08-06
,Monday,no football game,2023-08-07
,Tuesday,no football game,2023-08-08
,Wednesday,no football game,2023-08-09
,Thursday,no football game,2023-08-10
,Friday,no football game,2023-08-11
,Saturday,no football game,2023-08-12
,Sunday,no football game,2023-08-13
,Monday,no football game,2023-08-14
,Tuesday,no football game,2023-08-15
,Wednesday,no football game,2023-08-16
,Thursday,no football game,2023-08-17
,Friday,no football game,2023-08-18
,Saturday,no football game,2023-08-19
,Sunday,no football game,2023-08-20
,Monday,no football game,2023-08-21
,Tuesday,no football game,2023-08-22
,Wednesday,no football game,2023-08-23
,Thursday,no football game,2023-08-24
,Friday,no football game,2023-08-25
,Saturday,no football game,2023-08-26
,Sunday,no football game,2023-08-27
,Monday,no football game,2023-08-28
,Tuesday,no football game,2023-08-29
,Wednesday,no football game,2023-08-30
,Thursday,no football game,2023-08-31
,Friday,no football game,2023-09-01
12:30:00,Saturday,football game,2023-09-02
,Sunday,no football game,2023-09-03
,Monday,no football game,2023-09-04
,Tuesday,no football game,2023-09-05
,Wednesday,no football game,2023-09-06
,Thursday,no football game,2023-09-07
,Friday,no football game,2023-09-08
14:00:00,Saturday,football game,2023-09-09
,Sunday,no football game,2023-09-10
,Monday,no football game,2023-09-11
,Tuesday,no football game,2023-09-12
,Wednesday,no football game,2023-09-13
,Thursday,no football game,2023-09-14
,Friday,no football game,2023-09-15
,Saturday,no football game,2023-09-16
,Sunday,no football game,2023-09-17
,Monday,no football game,2023-09-18
,Tuesday,no football game,2023-09-19
,Wednesday,no football game,2023-09-20
,Thursday,no football game,2023-09-21
,Friday,no football game,2023-09-22
19:30:00,Saturday,football game,2023-09-23
,Sunday,no football game,2023-09-24
,Monday,no football game,2023-09-25
,Tuesday,no football game,2023-09-26
,Wednesday,no football game,2023-09-27
,Thursday,no football game,2023-09-28
,Friday,no football game,2023-09-29
,Saturday,no football game,2023-09-30
,Sunday,no football game,2023-10-01
,Monday,no football game,2023-10-02
,Tuesday,no football game,2023-10-03
,Wednesday,no football game,2023-10-04
,Thursday,no football game,2023-10-05
,Friday,no football game,2023-10-06
,Saturday,no football game,2023-10-07
,Sunday,no football game,2023-10-08
,Monday,no football game,2023-10-09
,Tuesday,no football game,2023-10-10
,Wednesday,no football game,2023-10-11
,Thursday,no football game,2023-10-12
,Friday,no football game,2023-10-13
12:30:00,Saturday,football game,2023-10-14
,Sunday,no football game,2023-10-15
,Monday,no football game,2023-10-16
,Tuesday,no football game,2023-10-17
,Wednesday,no football game,2023-10-18
,Thursday,no football game,2023-10-19
,Friday,no football game,2023-10-20
19:30:00,Saturday,football game,2023-10-21
,Sunday,no football game,2023-10-22
,Monday,no football game,2023-10-23
,Tuesday,no football game,2023-10-24
,Wednesday,no football game,2023-10-25
,Thursday,no football game,2023-10-26
,Friday,no football game,2023-10-27
,Saturday,no football game,2023-10-28
,Sunday,no football game,2023-10-29
,Monday,no football game,2023-10-30
,Tuesday,no football game,2023-10-31
