time,day_of_week,event type,date
,Sunday,no football game,2019-10-06
,Monday,no football game,2019-10-07
,Tuesday,no football game,2019-10-08
,Wednesday,no football game,2019-10-09
,Thursday,no football game,2019-10-10
,Friday,no football game,2019-10-11
,Saturday,no football game,2019-10-12
,Sunday,no football game,2019-10-13
,Monday,no football game,2019-10-14
,Tuesday,no football game,2019-10-15
,Wednesday,no football game,2019-10-16
,Thursday,no football game,2019-10-17
,Friday,no football game,2019-10-18
12:30:00,Saturday,football game,2019-10-19
,Sunday,no football game,2019-10-20
,Monday,no football game,2019-10-21
,Tuesday,no football game,2019-10-22
,Wednesday,no football game,2019-10-23
,Thursday,no football game,2019-10-24
,Friday,no football game,2019-10-25
,Saturday,no football game,2019-10-26
,Sunday,no football game,2019-10-27
,Monday,no football game,2019-10-28
,Tuesday,no football game,2019-10-29
,Wednesday,no football game,2019-10-30
,Thursday,no football game,2019-10-31
,Friday,no football game,2019-11-01
13:00:00,Saturday,football game,2019-11-02
,Sunday,no football game,2019-11-03
,Monday,no football game,2019-11-04
,Tuesday,no football game,2019-11-05
,Wednesday,no football game,2019-11-06
,Thursday,no football game,2019-11-07
,Friday,no football game,2019-11-08
,Saturday,no football game,2019-11-09
,Sunday,no football game,2019-11-10
,Monday,no football game,2019-11-11
,Tuesday,no football game,2019-11-12
,Wednesday,no football game,2019-11-13
,Thursday,no football game,2019-11-14
,Friday,no football game,2019-11-15
,Saturday,no football game,2019-11-16
,Sunday,no football game,2019-11-17
,Monday,no football game,2019-11-18
,Tuesday,no football game,2019-11-19
,Wednesday,no football game,2019-11-20
,Thursday,no football game,2019-11-21
,Friday,no football game,2019-11-22
,Saturday,no football game,2019-11-23
,Sunday,no football game,2019-11-24
,Monday,no football game,2019-11-25
,Tuesday,no football game,2019-11-26
,Wednesday,no football game,2019-11-27
,Thursday,no football game,2019-11-28
13:00:00,Friday,football game,2019-11-29
,Saturday,no football game,2019-11-30
,Sunday,no football game,2019-12-01
,Monday,no football game,2019-12-02
,Tuesday,no football game,2019-12-03
,Wednesday,no football game,2019-12-04
,Thursday,no football game,2019-12-05
,Friday,no football game,2019-12-06
,Saturday,no football game,2019-12-07
,Sunday,no football game,2019-12-08
,Monday,no football game,2019-12-09
,Tuesday,no football game,2019-12-10
